rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-02-00001,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00002,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00003,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00004,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00005,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00006,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00007,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00008,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00009,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00012,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00013,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00014,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00015,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00016,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00017,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00018,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00019,2,2,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00020,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00021,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00022,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00023,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00024,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00025,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00026,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00027,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00028,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00029,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00030,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00031,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00032,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00033,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00034,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00035,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00036,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00037,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00038,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00039,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00040,2,1,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00041,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,no evidence for laek in image
RGI2000-v7.0-G-02-00043,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00044,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00045,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00046,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00047,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00048,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00049,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00050,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00051,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,no evidence for lake in image
RGI2000-v7.0-G-02-00052,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00053,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00054,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00055,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00056,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00057,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00058,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00059,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00060,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00061,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00062,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00063,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00064,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00065,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00066,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00067,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00068,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00070,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00071,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00072,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00073,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00074,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00075,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00077,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00078,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00079,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00080,2,3,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,lake polygon may be in contat with margin (if RGI inaccurate) but hard to verify
RGI2000-v7.0-G-02-00081,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00082,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00083,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00084,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00085,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00086,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00087,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00089,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00090,2,1,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00094,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00095,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00096,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00097,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00098,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00099,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00100,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00101,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00102,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00103,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00104,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00105,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00106,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00107,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00108,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00109,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00110,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00111,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00112,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00113,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00114,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00115,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00116,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00117,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00118,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00119,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00120,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00121,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00122,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00123,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00124,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00125,2,1,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,if lake outline is accurate - hard to tell if any shadow effects
RGI2000-v7.0-G-02-00126,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00131,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00132,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00133,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00134,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00135,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00136,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00137,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00138,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00139,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00140,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00141,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00143,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,
RGI2000-v7.0-G-02-00144,2,3,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Armstrong,small terminal (ice-dammed?) lake
